Date,ADM,BF-B,CAG,CL,CLX,COST,CPB,EL,GIS,HRL,HSY,K,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,SJM,STZ,SYY,TAP,TSN,WBA,WMT
2008-08-19,17.278535842895508,12.366289138793945,10.621577262878418,26.89246940612793,38.42194366455078,47.93643569946289,23.346254348754883,20.954833984375,20.076194763183594,6.446588039398193,26.13460350036621,29.620006561279297,34.543270111083984,16.763147354125977,10.785799980163574,14.854334831237793,14.97249698638916,2.3383328914642334,8.370616912841797,44.53990173339844,45.03923416137695,33.72226333618164,18.677936553955078,19.965497970581055,33.63146209716797,12.4039945602417,23.46687889099121,41.54514694213867
2008-08-20,17.769479751586914,12.39218807220459,10.65507984161377,26.600353240966797,38.01932144165039,47.56136703491211,23.509437561035156,20.822099685668945,20.37806510925293,6.47052526473999,26.203752517700195,29.911306381225586,33.931278228759766,16.76932716369629,10.800938606262207,14.91800308227539,14.910002708435059,2.5174999237060547,8.37460708618164,44.38105010986328,44.77173614501953,33.69805145263672,18.81172752380371,20.073320388793945,33.499324798583984,12.628260612487793,23.10574722290039,41.659358978271484
2008-08-21,18.103595733642578,12.337156295776367,10.51148509979248,26.520360946655273,37.30352783203125,47.78496170043945,23.32114601135254,20.7640323638916,20.451255798339844,6.525765419006348,26.00020980834961,29.779382705688477,33.931278228759766,16.510143280029297,10.607926368713379,14.858880043029785,14.869571685791016,2.4433329105377197,8.342691421508789,44.08878707885742,44.51698684692383,33.06886291503906,18.936603546142578,20.092344284057617,33.79142379760742,12.597326278686523,23.363693237304688,41.759300231933594
2008-08-22,17.87175941467285,12.406755447387695,10.578495025634766,26.86812400817871,38.12157440185547,48.636085510253906,23.584753036499023,20.921646118164062,20.56711769104004,6.547860145568848,26.097801208496094,29.894819259643555,34.509883880615234,16.775487899780273,10.676048278808594,14.817952156066895,14.928384780883789,2.4608330726623535,8.346677780151367,44.41282653808594,45.60605239868164,32.94181823730469,19.18636131286621,20.352378845214844,33.58973693847656,12.380800247192383,23.51846694946289,42.430294036865234
2008-08-25,17.32627296447754,12.293449401855469,10.43968677520752,26.42299461364746,37.3291015625,47.9292106628418,23.415292739868164,20.701805114746094,20.436004638671875,6.555225849151611,25.512266159057617,29.630985260009766,33.903465270996094,16.52865982055664,10.411134719848633,14.654216766357422,14.711503028869629,2.365000009536743,8.298803329467773,43.872764587402344,44.663475036621094,32.86922073364258,18.64225196838379,19.95915985107422,33.46455383300781,12.535460472106934,22.931629180908203,41.79498291015625
2008-08-26,17.21034812927246,12.272407531738281,10.267362594604492,26.381267547607422,37.252418518066406,47.97970199584961,23.051298141479492,20.560787200927734,20.368921279907227,6.612311363220215,25.254358291625977,29.345176696777344,33.9591064453125,16.513227462768555,10.365723609924316,14.585987091064453,14.674742698669434,2.3541669845581055,8.290823936462402,43.65038299560547,44.478759765625,32.9599723815918,18.20518684387207,20.041603088378906,33.13074493408203,11.793081283569336,22.94453239440918,42.11623001098633
2008-08-27,17.524009704589844,12.466642379760742,10.291297912597656,26.509933471679688,37.33549118041992,48.11675262451172,23.31488037109375,20.552492141723633,20.51528549194336,6.5938944816589355,25.442569732666016,29.85635757446289,34.031436920166016,16.596542358398438,10.479259490966797,14.590542793273926,14.92103099822998,2.3066670894622803,8.226984977722168,43.96806716918945,44.61888122558594,33.026512145996094,18.758207321166992,20.27627182006836,33.85704803466797,11.901629447937012,22.751070022583008,42.32323455810547
2008-08-28,17.680835723876953,12.00533676147461,10.339166641235352,26.71162223815918,38.166324615478516,48.91017150878906,23.45294952392578,20.759878158569336,20.57016944885254,6.650978088378906,25.4774169921875,30.355510711669922,34.89375305175781,16.389812469482422,10.558727264404297,14.590542793273926,15.068074226379395,2.2891669273376465,8.394559860229492,43.96170425415039,45.223915100097656,33.08096694946289,19.248798370361328,20.27627182006836,34.27607727050781,11.62249755859375,23.550708770751953,42.744380950927734
2008-08-29,17.360363006591797,11.655712127685547,10.181205749511719,26.440378189086914,37.770076751708984,48.36918640136719,23.101499557495117,20.643739700317383,20.179866790771484,6.5662760734558105,25.156782150268555,30.123098373413086,34.31515121459961,16.065845489501953,10.452764511108398,14.331292152404785,14.869571685791016,2.2899999618530273,8.390565872192383,43.51060104370117,44.434200286865234,32.808719635009766,18.829566955566406,20.187484741210938,33.277400970458984,11.25809097290039,23.492671966552734,42.16619110107422
2008-09-02,16.985328674316406,11.684844970703125,10.272150993347168,26.680328369140625,38.59449768066406,49.2347526550293,23.478052139282227,20.61470603942871,20.557973861694336,6.649137496948242,25.623804092407227,30.643226623535156,34.98277282714844,16.031904220581055,10.520885467529297,14.417710304260254,14.92103099822998,2.228332996368408,8.518239974975586,44.13325881958008,44.880008697509766,32.693782806396484,19.01688003540039,20.301639556884766,33.682456970214844,11.552717208862305,23.215375900268555,42.5802116394043
