,Price,GDP,RATE_10,URATE,CPI,PPI,HOUSE,SAVE,Index Enterprise Value,Adjusted Price/Earnings ratio,Adjusted Price/Estimated Earnings,BEst Div Yld,Total Debt to Total Equity,Current Market Cap,Profit Margin,SMA_10d,SMA_20d,SMA_60d,EMA_10d,EMA_20d,EMA_60d,MOM_10d,MOM_20d,MOM_60d,RSI_10d,RSI_20d,RSI_60d
2006-12-27,1.8298943042755127,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2197.4675,9.9907,20.0082,1.8478,101.9684,1305424.06,4.0576,1.7965755820274354,1.7878698647022246,,1.7980250326488487,1.7876421525978252,,0.03519713878631592,0.06400251388549805,,95.55556171457354,92.78360752715875,
2006-12-28,1.8287831544876096,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2195.8169,9.9811,19.9892,1.8495,101.9684,1305761.42,4.0576,1.8001665472984314,1.7910144329071045,,1.8036174184377143,1.7915603432539953,,0.035909652709960715,0.06289136409759499,,93.23969185015186,91.30430462683783,
2006-12-29,1.8287831544876096,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2187.0875,9.9307,19.8887,1.8589,101.9684,1300507.02,4.0576,1.8037575125694274,1.7944689333438872,,1.8081930068104226,1.795105372895292,,0.035909652709960715,0.06909000873565652,,93.23969185015186,91.30430462683783,
2007-01-03,1.8287831544876096,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2146.305,10.119,19.8829,1.8584,96.9741,1309501.58,4.0072,1.8073484778404236,1.7979234337806702,,1.8119366700244566,1.7983127806659889,,0.035909652709960715,0.06909000873565652,,93.23969185015186,91.30430462683783,
2007-01-04,1.8287831544876096,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2142.1339,10.0945,19.8562,1.863,96.9741,1311956.24,4.0072,1.8109394431114196,1.8002840518951415,,1.8149996671995754,1.8012147210299527,,0.035909652709960715,0.04721236228942849,,93.23969185015186,91.30430462683783,
2007-01-05,1.80509090423584,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2131.2343,10.0304,19.7337,1.8746,96.9741,1303185.85,4.0072,1.8121611833572389,1.8014600574970245,,1.8131980739334417,1.8015838813352754,,0.01221740245819114,0.023520112037658913,,52.158293321179,64.41794501435892,
2007-01-08,1.80509090423584,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2134.6238,10.0503,19.7751,1.8708,96.9741,1306029.63,4.0072,1.8133829236030579,1.8026360630989076,,1.8117240430793322,1.8019178835162815,,0.01221740245819114,0.023520112037658913,,52.158293321179,64.41794501435892,
2007-01-09,1.808792352676392,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2136.3738,10.0606,19.7983,1.8675,96.9741,1308152.64,4.0072,1.814974808692932,1.80359605550766,,1.8111910084606158,1.8025725948648634,,0.01591885089874312,0.019199848175049272,,55.90551224108229,66.14377293595746,
2007-01-10,1.813975691795349,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2141.5844,10.0913,19.8718,1.8617,96.9741,1314873.13,4.0072,1.8170850276947021,1.8048152148723602,,1.8116973145214763,1.8036586040963383,,0.021102190017699973,0.024383187294006126,,60.695555883054574,68.40283856261473,
2007-01-11,1.813975691795349,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2153.2644,10.16,20.0082,1.8509,96.9741,1323026.91,4.0072,1.8191952466964723,1.806125557422638,,1.8121115649349078,1.8046411838771965,,0.021102190017699973,0.026206851005553977,,60.69555588305455,68.40283856261473,
